,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
1709,IF-WU-450a.3d,Customers affected by service disruptions under 4 hours
1710,IF-WU-450a.3e,Customers affected by service disruptions between 4 and 12 hours
1711,IF-WU-450a.3f,Customers affected by service disruptions of more than 12 hours
1712,IF-WU-450a.3g,The entity shall discuss notable service disruptions such as those that affected a significant population or those of extended duration.
1713,IF-WU-450a.4a,Description of efforts to identify and manage risks and opportunities related to the impact of climate change on distribution and wastewater infrastructure
1714,RR-BI-000.Aa,Biofuel production capacity
1715,RR-BI-000.Ba,Production of renewable fuel
1716,RR-BI-000.Bb,Production of advanced biofuel
1717,RR-BI-000.Bc,Production of biomass-based diesel
1718,RR-BI-000.Bd,Production of cellulosic biofuel
1719,RR-BI-000.Ca,Amount of feedstock consumed in production
1720,RR-BI-120a.1a,Air emissions from NO (excluding N O)
1721,RR-BI-120a.1b,Air emissions from SO
1722,RR-BI-120a.1c,Air emissions from volatile organic compounds (VOCs)
1723,RR-BI-120a.1d,Air emissions from particulate matter (PM )
1724,RR-BI-120a.1e,Air emissions from hazardous air pollutants (HAPs)
1725,RR-BI-120a.2a,"Number of incidents of non-compliance associated with air quality permits, standards, and regulations"
1726,RR-BI-140a.1a,Total water withdrawn
1727,RR-BI-140a.1b,Total water consumed
1728,RR-BI-140a.1c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
1729,RR-BI-140a.1d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
1730,RR-BI-140a.2a,Discussion of water management risks and description of strategies and practices to mitigate those risks
1731,RR-BI-140a.3a,Number of incidents of non-compliance associated with water quality permits
1732,RR-BI-140a.3b,Number of incidents of non-compliance associated with water quality standards
1733,RR-BI-140a.3c,Number of incidents of non-compliance associated with water quality regulations
1734,RR-BI-410a.1a,Lifecycle greenhouse gas (GHG) emissions: renewable fuel
1735,RR-BI-410a.1b,Lifecycle greenhouse gas (GHG) emissions: advanced biofuel
1736,RR-BI-410a.1c,Lifecycle greenhouse gas (GHG) emissions: biomass-based diesel
1737,RR-BI-410a.1d,Lifecycle greenhouse gas (GHG) emissions: cellulosic biofuel
1738,RR-BI-430a.1a,Discussion of strategy to manage risks associated with environmental impacts of feedstock production
1739,RR-BI-430a.2a,Percentage of biofuel production third-party certified to an environmental sustainability standard
1740,RR-BI-530a.1a,Amount of subsidies received through government programs
1741,RR-BI-530a.2a,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry
1742,RR-BI-540a.1a,Process Safety Incidents Count (PSIC)
1743,RR-BI-540a.1b,Process Safety Total Incident Rate (PSTIR)
1744,RR-BI-540a.1c,Process Safety Incident Severity Rate (PSISR)
1745,RR-BI-540a.1d,"The entity shall describe incidents with a severity rating of 1 or 2, including their root cause, outcomes, and corrective actions implemented in response (e.g., technology improvements and operator training)."
1746,RR-FC-000.Aa,Number of units sold
1747,RR-FC-000.Ba,Total storage capacity of batteries sold
1748,RR-FC-000.Ca,Total energy production capacity of fuel cells sold
1749,RR-FC-130a.1a,Total energy consumed
1750,RR-FC-130a.1b,Percentage of energy consumed that is grid electricity
1751,RR-FC-130a.1c,Percentage of energy consumed that is renewable
1752,RR-FC-320a.1a,Total recordable incident rate (TRIR)
1753,RR-FC-320a.1b,Fatality rate
1754,RR-FC-320a.2a,"Description of efforts to assess, monitor, and reduce exposure of workforce to human health hazards"
1755,RR-FC-410a.1a,Average storage capacity of batteries: portable lead-based
1756,RR-FC-410a.1b,Average storage capacity of batteries: portable nickel-based
1757,RR-FC-410a.1c,Average storage capacity of batteries: portable lithium-based
1758,RR-FC-410a.1d,Average storage capacity of batteries: portable sodium-based
1759,RR-FC-410a.1e,"Average storage capacity of batteries: portable ""all other"""
1760,RR-FC-410a.1f,Average storage capacity of batteries: motive lead-based
1761,RR-FC-410a.1g,Average storage capacity of batteries: motive nickel-based
1762,RR-FC-410a.1h,Average storage capacity of batteries: motive lithium-based
1763,RR-FC-410a.1i,Average storage capacity of batteries: motive sodium-based
1764,RR-FC-410a.1j,"Average storage capacity of batteries: motive ""all other"""
1765,RR-FC-410a.1k,Average storage capacity of batteries: stationary lead-based
1766,RR-FC-410a.1l,Average storage capacity of batteries: stationary nickel-based
1767,RR-FC-410a.1m,Average storage capacity of batteries: stationary lithium-based
1768,RR-FC-410a.1n,Average storage capacity of batteries: stationary sodium-based
1769,RR-FC-410a.1o,"Average storage capacity of batteries: stationary ""all other"""
1770,RR-FC-410a.1p,Average storage capacity of batteries: all other lead-based
1771,RR-FC-410a.1q,Average storage capacity of batteries: all other nickel-based
1772,RR-FC-410a.1r,Average storage capacity of batteries: all other lithium-based
1773,RR-FC-410a.1s,Average storage capacity of batteries: all other sodium-based
1774,RR-FC-410a.1t,"Average storage capacity of batteries: all other ""all other"""
1775,RR-FC-410a.2a,Electrical efficiency: portable direct methanol (DMFC)
1776,RR-FC-410a.2aa,Electrical efficiency: all other solid oxide fuel cell (SOFC)
1777,RR-FC-410a.2aaa,Thermal efficiency: all other phosphoric acid (PAFC)
1778,RR-FC-410a.2b,Electrical efficiency: portable polymer electrolyte (PEM)
1779,RR-FC-410a.2bb,"Electrical efficiency: all other ""all other"""
1780,RR-FC-410a.2bbb,Thermal efficiency: all other molten carbonate
1781,RR-FC-410a.2c,Electrical efficiency: portable alkaline (AFC)
1782,RR-FC-410a.2cc,Thermal efficiency: portable direct methanol (DMFC)
1783,RR-FC-410a.2ccc,Thermal efficiency: all other solid oxide fuel cell (SOFC)
1784,RR-FC-410a.2d,Electrical efficiency: portable phosphoric acid (PAFC)
1785,RR-FC-410a.2dd,Thermal efficiency: portable polymer electrolyte (PEM)
1786,RR-FC-410a.2ddd,"Thermal efficiency: all other ""all other"""
1787,RR-FC-410a.2e,Electrical efficiency: portable molten carbonate
1788,RR-FC-410a.2ee,Thermal efficiency: portable alkaline (AFC)
1789,RR-FC-410a.2f,Electrical efficiency: portable solid oxide fuel cell (SOFC)
1790,RR-FC-410a.2ff,Thermal efficiency: portable phosphoric acid (PAFC)
1791,RR-FC-410a.2g,"Electrical efficiency: portable ""all other"""
1792,RR-FC-410a.2gg,Thermal efficiency: portable molten carbonate
1793,RR-FC-410a.2h,Electrical efficiency: motive direct methanol (DMFC)
1794,RR-FC-410a.2hh,Thermal efficiency: portable solid oxide fuel cell (SOFC)
1795,RR-FC-410a.2i,Electrical efficiency: motive polymer electrolyte (PEM)
1796,RR-FC-410a.2ii,"Thermal efficiency: portable ""all other"""
1797,RR-FC-410a.2j,Electrical efficiency: motive alkaline (AFC)
1798,RR-FC-410a.2jj,Thermal efficiency: motive direct methanol (DMFC)
1799,RR-FC-410a.2k,Electrical efficiency: motive phosphoric acid (PAFC)
1800,RR-FC-410a.2kk,Thermal efficiency: motive polymer electrolyte (PEM)
1801,RR-FC-410a.2l,Electrical efficiency: motive molten carbonate
1802,RR-FC-410a.2ll,Thermal efficiency: motive alkaline (AFC)
1803,RR-FC-410a.2m,Electrical efficiency: motive solid oxide fuel cell (SOFC)
1804,RR-FC-410a.2mm,Thermal efficiency: motive phosphoric acid (PAFC)
1805,RR-FC-410a.2n,"Electrical efficiency: motive ""all other"""
1806,RR-FC-410a.2nn,Thermal efficiency: motive molten carbonate
1807,RR-FC-410a.2o,Electrical efficiency: stationary direct methanol (DMFC)
1808,RR-FC-410a.2oo,Thermal efficiency: motive solid oxide fuel cell (SOFC)
1809,RR-FC-410a.2p,Electrical efficiency: stationary polymer electrolyte (PEM)
1810,RR-FC-410a.2pp,"Thermal efficiency: motive ""all other"""
1811,RR-FC-410a.2q,Electrical efficiency: stationary alkaline (AFC)
1812,RR-FC-410a.2qq,Thermal efficiency: stationary direct methanol (DMFC)
1813,RR-FC-410a.2r,Electrical efficiency: stationary phosphoric acid (PAFC)
1814,RR-FC-410a.2rr,Thermal efficiency: stationary polymer electrolyte (PEM)
1815,RR-FC-410a.2s,Electrical efficiency: stationary molten carbonate
1816,RR-FC-410a.2ss,Thermal efficiency: stationary alkaline (AFC)
1817,RR-FC-410a.2t,Electrical efficiency: stationary solid oxide fuel cell (SOFC)
1818,RR-FC-410a.2tt,Thermal efficiency: stationary phosphoric acid (PAFC)
1819,RR-FC-410a.2u,"Electrical efficiency: stationary ""all other"""
1820,RR-FC-410a.2uu,Thermal efficiency: stationary molten carbonate
1821,RR-FC-410a.2v,Electrical efficiency: all other direct methanol (DMFC)
1822,RR-FC-410a.2vv,Thermal efficiency: stationary solid oxide fuel cell (SOFC)
1823,RR-FC-410a.2w,Electrical efficiency: all other polymer electrolyte (PEM)
1824,RR-FC-410a.2ww,"Thermal efficiency: stationary ""all other"""
1825,RR-FC-410a.2x,Electrical efficiency: all other alkaline (AFC)
1826,RR-FC-410a.2xx,Thermal efficiency: all other direct methanol (DMFC)
1827,RR-FC-410a.2y,Electrical efficiency: all other phosphoric acid (PAFC)
1828,RR-FC-410a.2yy,Thermal efficiency: all other polymer electrolyte (PEM)
1829,RR-FC-410a.2z,Electrical efficiency: all other molten carbonate
1830,RR-FC-410a.2zz,Thermal efficiency: all other alkaline (AFC)
1831,RR-FC-410a.3a,Average battery efficiency as coulombic efficiency: portable lead-based
1832,RR-FC-410a.3b,Average battery efficiency as coulombic efficiency: portable nickel-based
1833,RR-FC-410a.3c,Average battery efficiency as coulombic efficiency: portable lithium-based
1834,RR-FC-410a.3d,Average battery efficiency as coulombic efficiency: portable sodium-based
1835,RR-FC-410a.3e,"Average battery efficiency as coulombic efficiency: portable ""all other"""
1836,RR-FC-410a.3f,Average battery efficiency as coulombic efficiency: motive lead-based
1837,RR-FC-410a.3g,Average battery efficiency as coulombic efficiency: motive nickel-based
1838,RR-FC-410a.3h,Average battery efficiency as coulombic efficiency: motive lithium-based
1839,RR-FC-410a.3i,Average battery efficiency as coulombic efficiency: motive sodium-based
1840,RR-FC-410a.3j,"Average battery efficiency as coulombic efficiency: motive ""all other"""
1841,RR-FC-410a.3k,Average battery efficiency as coulombic efficiency: stationary lead-based
1842,RR-FC-410a.3l,Average battery efficiency as coulombic efficiency: stationary nickel-based
1843,RR-FC-410a.3m,Average battery efficiency as coulombic efficiency: stationary lithium-based
1844,RR-FC-410a.3n,Average battery efficiency as coulombic efficiency: stationary sodium-based
1845,RR-FC-410a.3o,"Average battery efficiency as coulombic efficiency: stationary ""all other"""
1846,RR-FC-410a.3p,Average battery efficiency as coulombic efficiency: all other lead-based
1847,RR-FC-410a.3q,Average battery efficiency as coulombic efficiency: all other nickel-based
